stock_code,corp_name,kets_name,induty_code,kets_ksic,size_class,kets_match_note
008870,(주)금비,(주)금비,23192,23192,중견,
018120,(주)진로발효,주식회사 진로발효,11121,11121,중견,
025820,이구산업(주),이구산업(주),24221,24211,중견,
001390,KG케미칼(주),케이지케미칼 주식회사,201,20311,중견,
007810,(주)코리아써키트,(주)코리아써키트,2622,26222,대기업,
136480,(주)하림,(주)하림,1012,10121,대기업,
003200,일신방직(주),일신방직(주) ,13101,13101,중견,
002310,아세아제지(주),아세아제지(주),172,17123,중견,
051370,(주)인터플렉스,(주)인터플렉스,2622,26221,대기업,
004430,송원산업(주),송원산업(주),20499,20499,중견,
005030,부산주공(주),부산주공(주),30310,30310,중견,
004980,성신양회(주),성신양회(주),23311,23311,중견,
183190,아세아시멘트(주),아세아시멘트 주식회사,23311,23311,중견,
009150,삼성전기(주),삼성전기 주식회사,2622,26299,대기업,
353200,대덕전자(주),대덕전자 주식회사,2622,26222,중견,
007210,(주)벽산,(주)벽산,23999,23121,중견,
011780,금호석유화학(주),금호석유화학 주식회사,201,20201,중견,
393890,더블유씨피(주),더블유씨피 주식회사,28202,22212,중견,업종 대분류 불일치(확인 필요)
018310,삼목에스폼(주),삼목에스폼(주),2511,24290,중견,업종 대분류 불일치(확인 필요)
008490,(주)서흥,(주)서흥,2049,10797,중견,업종 대분류 불일치(확인 필요)
006650,대한유화(주),대한유화 주식회사,20111,20111,중견,
009160,(주)SIMPAC,(주)SIMPAC,24113,24113,중견,
002200,한국수출포장공업(주),한국수출포장공업(주),1721,17123,중견,
012280,영화금속(주),영화금속(주),303,24311,중견,업종 대분류 불일치(확인 필요)
017860,주식회사 디에스단석,주식회사 디에스단석,204,24213,중견,업종 대분류 불일치(확인 필요)
010950,S-Oil(주),S-Oil(주),19210,19210,대기업,
005950,(주)이수화학                             ,(주)이수화학,20111,20111,중견,
020400,대동금속(주),대동금속(주),24312,24311,중소,
009770,삼정펄프(주),삼정펄프(주),171,17125,중소,
020150,롯데에너지머티리얼즈(주),롯데에너지머티리얼즈(주),2629,26221,대기업,
025900,동화기업(주),동화기업(주),16212,16212,중견,
003720,(주)삼영,주식회사 삼영 ,2221,22212,중소,
240810,(주)원익아이피에스,(주)원익아이피에스,292,29271,중견,
093370,(주)후성,주식회사 후성,20129,20129,중견,
018470,조일알미늄(주),조일알미늄 주식회사,24222,24222,중견,
178920,피아이첨단소재(주),피아이첨단소재 주식회사,2221,22212,중견,
322000,에이치디현대에너지솔루션(주),에이치디현대에너지솔루션(주),2612,26129,대기업,
090080,평화산업(주),평화산업(주),303,22192,중견,업종 대분류 불일치(확인 필요)
017650,(주)대림제지,(주)대림제지,179,17129,중소,
009620,삼보산업 주식회사,삼보산업 주식회사,24222,24212,중견,
015890,태경산업(주),태경산업(주),20129,24113,중견,업종 대분류 불일치(확인 필요)
460860,동국제강(주),동국제강 주식회사,241,24112,중견,
000660,에스케이하이닉스(주),에스케이하이닉스 주식회사,2612,26111,대기업,
012330,현대모비스(주),현대모비스(주),303,30399,대기업,
234080,제이더블유생명과학(주),JW 생명과학(주),212,21210,중견,
018880,한온시스템(주),한온시스템 주식회사,29172,30399,대기업,업종 대분류 불일치(확인 필요)
002380,(주)케이씨씨,케이씨씨,20411,23323,대기업,업종 대분류 불일치(확인 필요)
267260,에이치디현대일렉트릭(주),에이치디현대일렉트릭(주),281,28111,대기업,
038500,(주)삼표시멘트,삼표시멘트,239,23311,중견,
207940,삼성바이오로직스(주),삼성바이오로직스 주식회사,211,21102,대기업,
005300,롯데칠성음료(주),롯데칠성음료 주식회사,11209,11209,대기업,
005160,동국산업(주),동국산업(주),24122,24122,중견,
222800,(주)심텍,주식회사 심텍,2622,26221,중견,
298040,효성중공업(주),효성중공업 주식회사,281,28112,대기업,
063160,(주)종근당바이오,(주)종근당바이오,212,21101,중견,
067310,하나마이크론(주),하나마이크론,2611,26129,중견,
004000,롯데정밀화학(주),롯데정밀화학 주식회사,20119,20111,대기업,
460850,동국씨엠 주식회사,동국씨엠 주식회사,24122,24191,중견,
009580,무림피앤피(주),무림피앤피(주),171,17122,중견,
001810,무림에스피(주),무림에스피(주),171,17122,중견,
009200,무림페이퍼(주),무림페이퍼(주),171,17122,중견,
044490,(주)태웅,(주)태웅,25912,24112,중견,업종 대분류 불일치(확인 필요)
025860,남해화학(주),남해화학(주),20312,20312,대기업,
058430,포스코스틸리온(주),포스코스틸리온(주),2419,24191,대기업,
003670,(주)포스코퓨처엠,주식회사 포스코퓨처엠,282,23312,대기업,업종 대분류 불일치(확인 필요)
195870,해성디에스(주),해성디에스 주식회사,262,26129,중견,
298050,에이치에스효성첨단소재(주),에이치에스효성첨단소재(주),205,20501,대기업,
001790,대한제당(주),대한제당 주식회사,105,10720,중견,
001680,대상(주),대상 주식회사,108,10620,중견,
017890,한국알콜산업(주),한국알콜산업(주),204,20119,중견,
023910,대한약품공업(주),대한약품공업(주),212,21210,중견,
161390,한국타이어앤테크놀로지(주),한국타이어앤테크놀로지(주),221,22111,대기업,
092220,(주)케이이씨,(주)케이이씨,2612,26129,중견,
092190,서울바이오시스(주),서울바이오시스(주),2612,26121,중견,
014580,(주)태경비케이,주식회사 태경비케이,23312,23312,중견,
365340,성일하이텍 주식회사,성일하이텍(주),201,24219,중견,업종 대분류 불일치(확인 필요)
009780,(주)엠에스씨,(주)MSC,108,10749,중견,
000670,(주)영풍,주식회사 영풍,24213,24213,대기업,
033170,시그네틱스(주),시그네틱스(주),2612,26111,대기업,
011070,엘지이노텍(주),엘지이노텍 주식회사,262,26299,대기업,
010140,삼성중공업(주),삼성중공업 주식회사,3111,31111,대기업,
002240,고려제강(주),고려제강(주),2411,24122,중견,
000970,한국주철관공업(주),한국주철관공업(주),24131,24131,중소,
272290,(주)이녹스첨단소재,(주)이녹스첨단소재,2629,26299,중견,
004560,현대비앤지스틸(주),현대비앤지스틸(주),24122,24122,대기업,
456040,OCI(주),오씨아이주식회사,20129,20119,대기업,
011210,현대위아(주),현대위아 주식회사,303,30399,대기업,
096770,SK이노베이션(주),SK이노베이션(주),192,35113,대기업,업종 대분류 불일치(확인 필요)
034020,두산에너빌리티(주),두산에너빌리티(주),29119,24119,대기업,업종 대분류 불일치(확인 필요)
005380,현대자동차(주),현대자동차 주식회사,30121,30121,대기업,
104480,(주)티케이케미칼,티케이케미칼,20501,20501,대기업,
016590,신대양제지(주),신대양제지(주),172,17129,중견,
069260,티케이지휴켐스(주),티케이지휴켐스 주식회사,2049,20499,중견,
042660,한화오션(주),한화오션(주),3111,31111,대기업,
003830,대한화섬(주),대한화섬(주),20501,20501,중견,
005680,삼영전자공업(주),삼영전자공업(주),26291,25929,중견,업종 대분류 불일치(확인 필요)
306200,(주)세아제강,(주)세아제강,2413,24132,대기업,
016380,KG스틸(주),케이지스틸 주식회사,24122,24122,중견,
023000,(주)삼원강재,(주)삼원강재,303,30320,대기업,
097950,CJ제일제당(주),CJ제일제당(주),108,10620,대기업,
108670,(주)엘엑스하우시스,주식회사 엘엑스하우시스,2222,22229,대기업,
285130,에스케이케미칼(주),에스케이케미칼(주),20202,20202,대기업,
083420,그린케미칼(주),그린케미칼 주식회사,20421,20111,중견,
000910,(주)유니온,(주)유니온,23311,23311,중견,
000990,주식회사 DB하이텍,주식회사 디비하이텍 ,2611,26112,대기업,
104700,한국철강(주),한국철강,2411,24112,중견,
005420,코스모화학(주),코스모화학,2049,20129,중견,
092780,디와이피(주),디와이피(주),301,30310,중견,
001340,피케이씨(주),피케이씨 주식회사,20131,20129,중견,
066570,LG전자(주),엘지전자 주식회사,264,26129,대기업,
213500,한솔제지(주),한솔제지,171,17123,중견,
272550,주식회사 삼양패키징,주식회사 삼양패키징,22232,22232,중견,
298020,효성티앤씨(주),효성티앤씨 주식회사,2050,20501,대기업,
271560,(주)오리온,(주)오리온,108,10713,중견,
084010,대한제강(주),대한제강(주),2411,24112,중견,
005070,코스모신소재(주),코스모신소재(주),204,20499,중견,
047810,한국항공우주산업(주),한국항공우주산업(주),31311,31311,중견,
064760,(주)티씨케이,(주)티씨케이,23999,23999,중견,
009830,한화솔루션(주),한화솔루션 주식회사,20111,20111,대기업,
014830,(주)유니드,주식회사 유니드,20129,20129,대기업,
268280,미원스페셜티케미칼(주),미원스페셜티케미칼(주),201,20119,중견,
068270,(주)셀트리온,셀트리온,21100,21102,대기업,
450080,주식회사 에코프로머티리얼즈,(주)에코프로머티리얼즈,28202,28202,중견,
001440,대한전선(주),대한전선 주식회사,28302,28302,대기업,
298000,효성화학(주),효성화학 주식회사,201,20111,대기업,
003240,태광산업(주),태광산업 주식회사,20501,20111,중견,
006280,(주)녹십자,녹십자,212,21210,중견,
003620,케이지모빌리티(주),케이지모빌리티 주식회사,301,30121,중견,
033780,(주)케이티앤지,(주)케이티앤지,12000,12000,대기업,
034220,엘지디스플레이(주),엘지디스플레이(주),2621,26211,대기업,
446070,(주)유니드비티플러스,주식회사 유니드비티플러스,16102,16212,대기업,
006740,블루산업개발 주식회사,블루산업개발 주식회사,172,17129,중소,
006400,삼성SDI(주),삼성에스디아이 주식회사,28202,28202,대기업,
007310,(주)오뚜기,(주)오뚜기,108,10751,중견,
012690,(주)모나리자,(주)모나리자,17902,17125,중소,
361610,에스케이아이이테크놀로지 주식회사,에스케이아이이테크놀로지주식회사,282,28202,대기업,
357780,솔브레인 주식회사,솔브레인 주식회사,204,20499,중견,
102260,(주)동성케미컬,주식회사 동성케미컬,20202,20111,중견,
066970,(주)엘앤에프,엘앤에프,28202,26291,중견,업종 대분류 불일치(확인 필요)
008730,율촌화학(주),율촌화학(주),22231,22212,중견,
004370,(주)농심,주식회사 농심,108,10730,중견,
011170,롯데케미칼(주),롯데케미칼 주식회사,20111,20111,대기업,
051910,(주)LG화학,주식회사 엘지화학,20111,20111,대기업,
000080,하이트진로(주),하이트진로(주),11122,11112,중견,
120110,코오롱인더스트리(주),코오롱인더스트리 주식회사,205,20202,대기업,
