업체코드,업체명,kets_ksic
E1950170042,주식회사 피엔알,24119
E2413240001,현대스틸파이프 주식회사,24132
I0024170001,와이케이스틸(주),24121
I0700100001,대한시멘트주식회사,23311
I0700100007,한라시멘트주식회사,23311
I0700100010,쌍용씨앤이(주),23311
I0700100016,한국씨엔티(주),23311
I0700100019,한일현대시멘트 주식회사,23311
I0700100020,광진산업(주),23311
I0800100020,주식회사 디비메탈,24113
I0800100025,주식회사 세아창원특수강,24112
I0800100026,한국제강 주식회사,24112
I0800100033,홍덕산업(주),24123
I0800100034,환영철강공업,24112
I0800120044,현대종합특수강 주식회사,24123
I0800120045,디케이동신(주),24191
I0800120050,진양특수강(주),24121
I0800120052,고려강선(주),24123
I0800140083,일진제강(주),24132
I0800140092,(주)세아씨엠,24191
I0800170097,주식회사 심팩인더스트리,24113
I0800200098,주식회사 포스코,24111
I0800210099,주식회사 세아베스틸,24112
I0900100002,노벨리스코리아 주식회사,24222
I0900100011,성훈엔지니어링주식회사,24212
I0900110019,주식회사 세진메탈,24212
I0900110020,하이호경금속 주식회사,24212
I0900140049,울산알루미늄 주식회사,24212
I0900150040,(주)동남,24212
I1000100018,한일제관(주),25991
I1000200069,현대아이에프씨 주식회사,24112
IB002200008,주식회사 포스코모빌리티솔루션,24122
