kisa_name,kisa_type,it_2025
토스플레이스,자율,18213538663.0
에스앤티모티브주식회사,의무,3483314471.0
동아오츠카,자율,3904324777.0
(주) 신세계푸드,의무,13794518842.0
동원금속(주),의무,1193485027.0
(주)영원무역,의무,3949071860.0
쿠도커뮤니케이션(주),자율,7259508481.0
신성통상(주),자율,9092778419.0
캐논코리아,자율,6868545517.0
주식회사 포스코,자율,262899465500.0
주식회사 티와이엠(TYM CORPORATION),의무,11551549955.0
에스앤티다이내믹스,의무,5438267160.0
신라에스지,자율,912904647.0
에스앤티에너지,의무,1843529561.0
동아제약(주),자율,7112658293.0
SK에너지 주식회사,자율,51557090516.0
에스케이지오센트릭 주식회사,자율,23086465802.0
SK인천석유화학 (주),자율,8832015950.0
에쓰-오일(S-OIL) (주),의무,46420043907.0
이노피아테크,의무,81918625.0
