corp_code,corp_name,stock_code,corp_cls,induty_code,jurir_no,bizr_no,est_dt,acc_mt,adres,bsns_year,rcept_no,ftc_group,ftc_is_large,is_holding,size_class,size_reason,rev_basis,sme_limit_eok,ofs_rev_t,ofs_rev_3y_avg,ofs_assets_t,cfs_rev_t,cfs_rev_3y_avg,cfs_assets_t,kets_member,kets_code,kets_name,kets_ksic,kets_match_note,cbam_wave1_industry,cbam_wave1_item,cbam_wave1_type,cbam_wave2_industry,cbam_wave2_item,wave_group,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽,product_hit,wave_group_final,review_decision,review_note,wave_group_reviewed
00173944,(주)우진,105840,Y,27216,1345110001814,1358105713,19800513,12,경기도 화성시 동부대로970번길 110,2025,20260316000450,,False,False,중소,"3년 평균 매출 691억 ≤ 기준 800억, 자산 5,000억 미만",별도,800,71565813467.0,69089440799.0,215030771058.0,150379282702.0,140055093014.0,297980322227.0,False,,,,,비해당,,,일부해당,가스 분석기(일부),2차 후보(확인 필요),,0,0,0,0,0,0,0,False,2차 후보(확인 필요),,,2차 후보-약
00129350,삼화콘덴서공업(주),001820,Y,26291,1345110003696,1358102429,19560814,12,경기도 용인시 처인구  남사면 경기동로 227,2025,20260319001054,,False,False,중견,"3년 평균 매출 2,369억 > 기준 1,000억",별도,1000,248224655342.0,236924159029.0,293888417006.0,294491998379.0,290224247331.0,340250346579.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,7,False,비대상,,,비대상
00303217,(주)우진플라임,049800,Y,292,1101110822993,1318139905,19920103,12,충청북도 보은군 장안면 우진플라임로 100 본관동,2025,20260604000634,,False,False,중견,"3년 평균 매출 2,106억 > 기준 1,200억",별도,1200,211392273616.0,210624369753.0,314129626040.0,211623242809.0,211114832376.0,314383012815.0,False,,,,,비해당,,,일부해당,건설·광업 기계/농기계/산업용 로봇/석재 가공기(일부)/주조·야금 기계,2차 후보(확인 필요),True,0,0,0,0,0,0,6,False,2차 후보(확인 필요),,,2차 후보(확인 필요)
00125938,삼보판지(주),023600,K,171,1243110011322,1308112669,19810723,12,경기도 시흥시 공단1대로28번길 120 (정왕동),2025,20260320000317,,False,False,중견,"3년 평균 매출 2,259억 > 기준 1,800억",별도,1800,208253712760.0,225938353149.0,334279838631.0,539865414411.0,551261944468.0,858872719177.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,0,False,비대상,,,비대상
01036446,(주)서연이화,200880,Y,303,1101115455476,2208882958,20140702,12,경기도 안양시 동안구 부림로170번길 41-22 (관양동),2025,20260318001250,,False,False,중견,"3년 평균 매출 17,710억 > 기준 1,200억, 자산 18,153억 ≥ 5,000억",별도,1200,1925420295816.0,1770981908065.0,1815292834846.0,4505249722750.0,4040348130379.0,3205041446005.0,False,,,,,비해당,,,일부해당,기어박스(일부)/자동차 엔진 부품(일부)/자동차 차체 부품(일부)/휠·현가장치·라디에이터(일부),2차 후보(확인 필요),True,0,0,0,0,0,1,17,True,"2차(2028, 제품명 확인)",제외,라디에이터 그릴 조명 특허 (라디에이터 아님),2차 후보(확인 필요)
01068348,(주)러셀,217500,K,292,1101115677864,1668100027,20150326,12,충청북도 청주시 흥덕구 옥산면 옥산산단로 36 (호죽리),2025,20260323000791,,False,False,중소,"3년 평균 매출 258억 ≤ 기준 1,200억, 자산 5,000억 미만",별도,1200,17212798102.0,25844885970.0,58450101521.0,27069629521.0,36420357828.0,65439293550.0,False,,,,,비해당,,,일부해당,건설·광업 기계/농기계/산업용 로봇/석재 가공기(일부)/주조·야금 기계,2차 후보(확인 필요),,0,0,0,0,0,0,0,False,2차 후보(확인 필요),,,2차 후보(확인 필요)
00133663,(주)세동,053060,K,303,1845110001541,6218109049,19860204,12,부산광역시 기장군  장안읍 장안산단 8로 8,2025,20260323000453,,False,False,중견,"3년 평균 매출 1,649억 > 기준 1,200억",별도,1200,177302768152.0,164906978323.0,122844044202.0,189439770060.0,176807745013.0,134390153086.0,False,,,,,비해당,,,일부해당,기어박스(일부)/자동차 엔진 부품(일부)/자동차 차체 부품(일부)/휠·현가장치·라디에이터(일부),2차 후보(확인 필요),True,0,0,0,0,0,0,3,False,2차 후보(확인 필요),,,2차 후보(확인 필요)
00132318,(주)성광벤드,014620,K,24133,1801110036425,6038107330,19800223,12,부산광역시 강서구  녹산산단262로 26,2025,20260708000008,,False,False,중견,"3년 평균 매출 2,164억 > 기준 1,800억, 자산 5,630억 ≥ 5,000억",별도,1800,221500650922.0,216399140421.0,563003096157.0,245669879092.0,242681969369.0,590271819146.0,False,,,,,해당,철강,원재료,비해당,,1차(2027),True,0,0,0,0,0,0,10,False,1차(2027),,,1차(2027)
00267881,보성파워텍(주),006910,K,2511,1301110007765,1348102237,19701121,12,충청북도 충주시 주덕읍 대창길 70 -,2025,20260319000970,,False,False,중소,"3년 평균 매출 1,010억 ≤ 기준 1,200억, 자산 5,000억 미만",별도,1200,147486453767.0,101014434635.0,133280442520.0,,,,False,,,,,해당,구조물,가공품,비해당,,1차(2027),,0,0,0,0,0,0,0,False,1차(2027),,,1차(2027)
00105156,극동유화(주),014530,Y,19221,1845110001335,6218100510,19791228,12,경상남도 양산시  어실로 101,2025,20260323001025,,False,False,중견,"3년 평균 매출 10,603억 > 기준 1,000억",별도,1000,1005967706802.0,1060294904371.0,415247658117.0,1021727866612.0,1080853395331.0,504234678749.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,0,False,비대상,,,비대상
