corp_code,corp_name,stock_code,corp_cls,induty_code,jurir_no,bizr_no,est_dt,acc_mt,adres,bsns_year,rcept_no,cfs_rev_t,cfs_rev_t1,cfs_rev_t2,cfs_assets_t,cfs_rev_3y_avg,ofs_rev_t,ofs_rev_t1,ofs_rev_t2,ofs_assets_t,ofs_rev_3y_avg,rev_source
00173944,(주)우진,105840,Y,27216,1345110001814,1358105713,19800513,12,경기도 화성시 동부대로970번길 110,2025,20260316000450,150379282702.0,140726674100.0,129059322239.0,297980322227.0,140055093014.0,71565813467.0,71859322689.0,63843186241.0,215030771058.0,69089440799.0,주요계정
00129350,삼화콘덴서공업(주),001820,Y,26291,1345110003696,1358102429,19560814,12,경기도 용인시 처인구  남사면 경기동로 227,2025,20260319001054,294491998379.0,295412198601.0,280768545013.0,340250346579.0,290224247331.0,248224655342.0,237608273203.0,224939548542.0,293888417006.0,236924159029.0,주요계정
00303217,(주)우진플라임,049800,Y,292,1101110822993,1318139905,19920103,12,충청북도 보은군 장안면 우진플라임로 100 본관동,2025,20260604000634,211623242809.0,209594990056.0,212126264262.0,314383012815.0,211114832376.0,211392273616.0,209167399395.0,211313436249.0,314129626040.0,210624369753.0,주요계정
00125938,삼보판지(주),023600,K,171,1243110011322,1308112669,19810723,12,경기도 시흥시 공단1대로28번길 120 (정왕동),2025,20260320000317,539865414411.0,558291565532.0,555628853462.0,858872719177.0,551261944468.0,208253712760.0,234093186332.0,235468160354.0,334279838631.0,225938353149.0,주요계정
01036446,(주)서연이화,200880,Y,303,1101115455476,2208882958,20140702,12,경기도 안양시 동안구 부림로170번길 41-22 (관양동),2025,20260318001250,4505249722750.0,4041529108352.0,3574265560035.0,3205041446005.0,4040348130379.0,1925420295816.0,1797016925001.0,1590508503378.0,1815292834846.0,1770981908065.0,주요계정
01068348,(주)러셀,217500,K,292,1101115677864,1668100027,20150326,12,충청북도 청주시 흥덕구 옥산면 옥산산단로 36 (호죽리),2025,20260323000791,27069629521.0,37480561135.0,44710882827.0,65439293550.0,36420357828.0,17212798102.0,23257604567.0,37064255241.0,58450101521.0,25844885970.0,주요계정
00133663,(주)세동,053060,K,303,1845110001541,6218109049,19860204,12,부산광역시 기장군  장안읍 장안산단 8로 8,2025,20260323000453,189439770060.0,171088252415.0,169895212565.0,134390153086.0,176807745013.0,177302768152.0,159379561723.0,158038605095.0,122844044202.0,164906978323.0,주요계정
00132318,(주)성광벤드,014620,K,24133,1801110036425,6038107330,19800223,12,부산광역시 강서구  녹산산단262로 26,2025,20260708000008,245669879092.0,227683121973.0,254692907041.0,590271819146.0,242681969369.0,221500650922.0,201735605834.0,225961164506.0,563003096157.0,216399140421.0,주요계정
00267881,보성파워텍(주),006910,K,2511,1301110007765,1348102237,19701121,12,충청북도 충주시 주덕읍 대창길 70 -,2025,20260319000970,,,,,,147486453767.0,77062181417.0,78494668722.0,133280442520.0,101014434635.0,주요계정
00105156,극동유화(주),014530,Y,19221,1845110001335,6218100510,19791228,12,경상남도 양산시  어실로 101,2025,20260323001025,1021727866612.0,1062833512172.0,1157998807210.0,504234678749.0,1080853395331.0,1005967706802.0,1040705616626.0,1134211389685.0,415247658117.0,1060294904371.0,주요계정
