stock_code,corp_name,induty_code,wave_group,wave_group_final,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽
001820,삼화콘덴서공업(주),26291,비대상,비대상,True,0,0,0,0,0,0,7
049800,(주)우진플라임,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,6
023600,삼보판지(주),171,비대상,비대상,True,0,0,0,0,0,0,0
200880,(주)서연이화,303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,0,0,0,1,17
053060,(주)세동,303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,3
014620,(주)성광벤드,24133,1차(2027),1차(2027),True,0,0,0,0,0,0,10
014530,극동유화(주),19221,비대상,비대상,True,0,0,0,0,0,0,0
053450,(주)세코닉스,273,비대상,비대상,True,0,0,0,0,0,0,18
004700,조광피혁(주),15110,비대상,비대상,True,0,0,0,1,0,0,0
084730,팅크웨어(주),264,비대상,비대상,True,0,0,0,0,0,0,5
281740,(주)레이크머티리얼즈,204,비대상,비대상,True,0,0,0,0,0,0,4
189300,(주)인텔리안테크놀로지스,26429,비대상,비대상,True,0,0,0,0,0,0,30
083930,(주)아바코,29272,비대상,비대상,True,0,0,0,0,0,0,9
382840,주식회사 원준,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,25
241710,(주)코스메카코리아,20423,비대상,비대상,True,0,0,0,0,0,0,12
013520,(주)화승코퍼레이션,303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,2,0,0,0,7
100120,(주)뷰웍스,27199,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,20
019180,(주)티에이치엔,289,비대상,비대상,True,0,0,0,0,0,0,1
008870,(주)금비,23192,비대상,비대상,True,0,0,0,0,0,0,2
336570,원텍(주),271,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,3
267320,(주)나인테크,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,1
206640,바디텍메드(주),213,비대상,비대상,True,0,0,0,0,0,0,8
378850,주식회사 화승알앤에이,30399,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,2,0,1,0,1
014160,대영포장(주),1721,비대상,비대상,True,0,0,0,0,0,0,0
018120,(주)진로발효,11121,비대상,비대상,True,0,0,0,0,0,0,0
025820,이구산업(주),24221,비대상,비대상,True,0,0,0,0,0,0,1
071280,로체시스템즈(주),292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,2,0,0,0
054040,한국컴퓨터(주),2629,비대상,비대상,True,0,0,0,0,0,0,0
002920,유성기업(주),303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,0,2,0,0,4
038010,(주)제일테크노스,2511,1차(2027),1차(2027),True,0,0,0,0,0,0,0
001390,KG케미칼(주),201,1차(2027),1차(2027),True,0,0,0,0,0,0,13
122690,(주)서진오토모티브,303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,34,7,0,1,3
194370,(주)제이에스코퍼레이션,15121,비대상,비대상,True,0,0,0,0,0,0,8
064960,SNT모티브(주),303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,14,0,18,0,29
004910,조광페인트(주),20411,비대상,비대상,True,0,0,0,0,0,0,0
083310,(주)엘오티베큠,29271,비대상,비대상,True,0,0,0,0,0,0,2
009270,(주)신원,14112,비대상,비대상,True,0,0,0,0,0,0,0
108380,대양전기공업(주),31114,비대상,비대상,True,0,0,0,0,0,0,0
058610,(주)에스피지,28111,2차(2028),2차(2028),True,0,0,70,0,0,0,10
003200,일신방직(주),13101,비대상,비대상,True,0,0,0,0,0,0,1
204020,(주)그리티,14120,비대상,비대상,True,0,0,0,0,0,0,6
002310,아세아제지(주),172,비대상,비대상,True,0,0,0,0,0,0,0
036810,(주)에프에스티,2629,비대상,비대상,True,0,0,0,0,0,0,6
053610,(주)프로텍,29271,비대상,비대상,True,0,0,0,0,0,0,0
243840,신흥에스이씨(주),28202,비대상,비대상,True,0,0,0,0,0,0,14
278280,(주)천보,201,비대상,비대상,True,0,0,0,0,0,0,6
003350,(주)한국화장품제조,20423,비대상,비대상,True,0,0,0,0,0,0,0
025320,(주)시노펙스,2629,비대상,비대상,True,0,0,0,0,0,0,2
039440,(주)에스티아이,29271,비대상,비대상,True,0,0,0,0,0,0,4
010820,퍼스텍(주),252,비대상,비대상,True,0,0,0,0,0,0,0
004430,송원산업(주),20499,비대상,비대상,True,0,0,0,0,0,0,17
005030,부산주공(주),30310,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,2
025540,한국단자공업(주),2812,비대상,비대상,True,0,0,0,0,0,0,1
155650,와이엠씨(주),262,비대상,비대상,True,0,0,0,0,0,0,0
037030,주식회사 파워넷,2811,2차(2028),2차(2028),True,0,0,0,0,0,0,0
004100,태양금속공업(주),303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,0
